시도명,주차장명,주차장유형,소재지도로명주소,위도,경도,개방시작시간,개방종료시간,종일개방여부,전화번호,관리기관
광주광역시,농성1동주거환경개선지구공영주차장,노외,광주광역시 서구 농성동30-10,35.156464,126.891501,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,농성동공영주차장,노외,광주광역시 서구 농성동 109,35.152735,126.891772,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,농성1동 주민센터 주차장,노외,광주광역시 서구 농성동345-15,35.156871,126.8899,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,농성2동 주민센터 주차장,노외,광주광역시 서구 농성동630-7,35.150181,126.890288,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,농성1동주거환경개선지구공영주차장,노외,광주광역시 서구 농성동69-1,35.15394,126.891008,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,농성1동주거환경개선지구공영주차장,노외,광주광역시 서구 농성동74-12,35.154566,126.887912,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,동천동 주민센터 주차장,노외,광주광역시 서구 동천동611,35.171703,126.858716,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,덕흥동 주거환경개선지구1,노외,광주광역시 서구 덕흥동570,35.16561293,126.8376228,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,덕흥동 주거환경개선지구2,노외,광주광역시 서구 덕흥동808-1,35.166903,126.835313,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,서창동 주거환경개선지구 주차장,노외,광주광역시 서구 서창동 555-1,35.14491,126.837086,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,서창동 주민센터 주차장,노외,광주광역시 서구 세하동553-1,35.114522,126.830289,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,향토문화마을 주차장,노외,광주광역시 서구 세하동682-5,35.115565,126.830122,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,신학대 공영주차장,노외,광주광역시 서구 쌍촌동 452-34,35.147904,126.870975,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,상무2동 공영주차장,노외,광주광역시 서구 쌍촌동 511,35.147152,126.861882,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,상무2동 주민센터 주차장,노외,광주광역시 서구 쌍촌동1227-4,35.146558,126.865984,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,상무1동 주민센터 주차장,노외,광주광역시 서구 쌍촌동328-25,35.153873,126.867268,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,양3동 공영주차장,노외,광주광역시 서구 양동 437-11,35.158763,126.892477,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,양동현장민원실 주차장,노외,광주광역시 서구 양동106-2,35.150064,126.907146,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,양동 주민센터 주차장,노외,광주광역시 서구 양동307-9,35.154952,126.900756,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,양3동 주민센터 주차장,노외,광주광역시 서구 양동461,35.154589,126.900014,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,유덕동주거환경개선지구공영주차장,노외,광주광역시 서구 유촌동148,35.165562,126.852735,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
광주광역시,유덕동 주민센터 주차장,노외,광주광역시 서구 유촌동499-1,35.165294,126.851814,00:00,23:59,종일개방,062-360-7810,광주광역시 서구청
