시도,구군,기관명,주차장명,유형,주소,위치 정보,전화번호,위도,경도,01월29일(토),01월30일(일),01월31일(월),02월01일(화),02월02일(수),365일 상시 무료개방 여부
부산광역시,강서구,가덕도동 행정복지센터,가덕도동 행정복지센터,부설,부산광역시 강서구 동선길 10(성북동),청사 입구,051-970-4637,35.05664095,128.8316513,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,가락동 행정복지센터,가락동 행정복지센터,부설,부산광역시 강서구 가락대로 1476(죽림동),청사 입구,051-970-2954,35.19640759,128.9018073,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,남구,감만종합사회복지관,감만창의문화촌,부설,부산광역시 남구 우암로 84-1(감만동),부산 남구 우암로841,051-634-3415,35.11847034,129.0813474,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,사상구,사상구청 교통행정과,감전시장주변,노상,부산광역시 사상구 감전동 132-7 일원,감전시장주변,051-310-4515,35.15465447,128.9861427,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,감전중고차시장주변,노상,부산광역시 사상구 감전동 156-1 일원,감전중고차시장주변,051-310-4515,35.15137915,128.9887481,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사상구,사상구청 교통행정과,감전중천주변,노상,부산광역시 사상구 감전동 150-1 일원,감전중천주변,051-310-4515,35.15409737,128.9770373,15:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,08:00~20:00,X
부산광역시,사하구,감천1동행정복지센터,감천1동행정복지센터,부설,부산광역시 사하구 감천로117번길 2 (감천동),동사 앞,051-220-5421,35.08803270,129.0046510,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사하구,감천2동행정복지센터,감천2동행정복지센터,부설,부산광역시 사하구 옥천로93번길 14 (감천동),청사 입구 왼편,051-220-5457,35.09460986,129.0093600,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,강서구,강동동 행정복지센터,강동동 행정복지센터,부설,부산광역시 강서구 제도로 1171(강동동),청사 입구,051-970-2937,35.21452388,128.9352664,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,부산시 강서구청,강서 브라이트센터,부설,부산광역시 강서구 공항로 811번길 10(대저2동),"지하주차장, 청사 입구",051-970-3416,35.18002552,128.9573882,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,부산시 강서구청,강서구청,부설,부산광역시 강서구 낙동북로 477(대저1동),청사 내,051-970-4152,35.21219970,128.9805896,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,강서구,부산시 강서구청,강서브라이트센터제2부설,부설,부산광역시 강서구 공항로 811번가길 30-1(대저2동),대저2동행정복지센터 청사 입구,051-970-3416,35.17854538,128.9564816,종일개방,종일개방,종일개방,종일개방,종일개방,X
부산광역시,중구,중구청,건어물시장,노상,부산광역시 중구 남포동4가 37-3,건어물시장,051-600-4556,35.09701127,129.0324438,"00:00~08:00, 19:00~24:00","00:00~08:00, 19:00~24:00","00:00~08:00, 19:00~24:00",종일개방,"00:00~08:00, 19:00~24:00",X
부산광역시,중구,중구청,광복로 부평동구간,노상,부산광역시 중구 부평동1가 51-1,광복로 부평동구간,051-600-4556,35.10068943,129.0270939,"00:00~10:00, 21:00~24:00","00:00~10:00, 21:00~24:00","00:00~10:00, 21:00~24:00","00:00~10:00, 21:00~24:00","00:00~10:00, 21:00~24:00",X
부산광역시,사하구,괴정1동행정복지센터,괴정1동행정복지센터,부설,부산광역시 사하구 낙동대로250번 안길 3 (괴정동 ),청사 앞,051-220-5001,35.09976007,128.9893190,종일개방,종일개방,종일개방,종일개방,종일개방,Y
부산광역시,사하구,괴정2동행정복지센터,괴정2동행정복지센터,부설,부산광역시 사하구 까치고개로 14-1 (괴정동),청사 앞,051-220-5031,35.10339784,129.0040281,종일개방,종일개방,종일개방,종일개방,종일개방,Y
